loopid,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend,backend_file_repeat,backend_file_repeat,file_backend_repeat,file_backend_repeat,repeat_file_backend,repeat_file_backend
which,loadtime,loadtime,loadtime,loadtime,loadtime,loadtime,simtime,simtime,simtime,simtime,simtime,simtime
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
sbml,,,,,,,,,,,,
D:\roadrunner\temp-biomodels\final\BIOMD0000000008/BIOMD0000000008_url.xml,0.011478719999999987,0.003541848929161157,0.01128435999999997,0.0031932739833907095,0.012566019999984324,0.0029807117794235067,0.01251566000000004,0.0035731142499225753,0.01224514000000001,0.003198669136219062,0.013516879999988341,0.003013713239837175
D:\roadrunner\temp-biomodels\final\BIOMD0000000009/BIOMD0000000009_url.xml,0.02644047999999999,0.004058387454642515,0.023813879999999975,0.004468401914219587,0.02368332000000999,0.0030166021625344483,0.027414139999999955,0.004056912646089404,0.024636439999999916,0.004487572547936958,0.02457380000002605,0.002919992466564617
D:\roadrunner\temp-biomodels\final\BIOMD0000000010/BIOMD0000000010_url.xml,0.013752960000000014,0.003612917419897586,0.012163680000000277,0.003431699523122723,0.01276315999996842,0.002501614747112682,0.014353799999999995,0.0036457151815521317,0.012700980000000328,0.0034428984151439004,0.013293919999978688,0.002517705762606629
D:\roadrunner\temp-biomodels\final\BIOMD0000000011/BIOMD0000000011_url.xml,0.021894280000000065,0.003957275899782581,0.02076317999999997,0.0037820918387846247,0.022085920000021318,0.005882545330238939,0.022948560000000028,0.003977975699146474,0.021703080000000163,0.0038192972635027115,0.02327058000000313,0.006376053557027899
D:\roadrunner\temp-biomodels\final\BIOMD0000000012/BIOMD0000000012_url.xml,0.013358059999999927,0.00354813514722868,0.013449159999999872,0.003699816827628211,0.016621879999977017,0.008236641588443396,0.01421095999999995,0.0035708217265777668,0.014250779999999708,0.0037546499060497913,0.017631139999973656,0.008675633352232308
D:\roadrunner\temp-biomodels\final\BIOMD0000000013/BIOMD0000000013_url.xml,0.030493360000000046,0.006097122691319258,0.02757617999999997,0.004674572059771671,0.032225479999990814,0.01334356817821819,0.032151219999999994,0.006060161775645908,0.029102720000000026,0.004614293814550629,0.0340199400000059,0.014198046368176138
D:\roadrunner\temp-biomodels\final\BIOMD0000000014/BIOMD0000000014_url.xml,0.13686388000000002,0.020473652412845128,0.12180777999999996,0.022634879816491368,0.11781019999999538,0.01835541369895721,0.14330950000000006,0.02049256268161702,0.12763431999999977,0.02269458585890047,0.12391147999997551,0.018385209630364347
D:\roadrunner\temp-biomodels\final\BIOMD0000000015/BIOMD0000000015_url.xml,0.026018500000000076,0.006963000399971293,0.02516657999999943,0.007440400253480838,0.029319120000007182,0.006067662272808339,0.026708159999999915,0.006972517098437294,0.025819799999999303,0.007476479329202973,0.030002840000007237,0.006165230894939382
D:\roadrunner\temp-biomodels\final\BIOMD0000000016/BIOMD0000000016_url.xml,0.011155839999999983,0.003048588313957835,0.011083320000000185,0.0032833624483146473,0.012539139999978754,0.0022872725784286612,0.011578239999999962,0.003063683976522284,0.011498579999999948,0.003300612013248767,0.012956599999990192,0.002308838462311722
D:\roadrunner\temp-biomodels\final\BIOMD0000000017/BIOMD0000000017_url.xml,0.0191014,0.004155523875517919,0.018115459999999927,0.0037902440235422414,0.02631222000000468,0.015715595632096242,0.019980059999999966,0.004154473584944454,0.018918780000000267,0.0038190605719204767,0.027219219999998056,0.015837850778976467
D:\roadrunner\temp-biomodels\final\BIOMD0000000018/BIOMD0000000018_url.xml,0.03383877999999996,0.005884814551623614,0.030949119999999653,0.0059805598079939295,0.03469722000002795,0.005196552388049196,0.03471874000000001,0.005862552175290244,0.03174937999999976,0.005988149862185628,0.03555376000001713,0.005238836958037204
D:\roadrunner\temp-biomodels\final\BIOMD0000000019/BIOMD0000000019_url.xml,0.07668747999999992,0.014617847325341615,0.06894066000000017,0.010543389915155325,0.07187317999999773,0.013118994167508335,0.10281590000000004,0.014591541238676597,0.09347706000000038,0.010521732499118041,0.0967137199999816,0.013129904768017854
D:\roadrunner\temp-biomodels\final\BIOMD0000000020/BIOMD0000000020_url.xml,0.01048000000000009,0.004214234903870428,0.010527199999999936,0.004113240005154047,0.014211240000002156,0.0030195624572435485,0.011008379999999995,0.004232553051291871,0.011055939999999964,0.004117601406523029,0.014751379999984503,0.0030291767210146787
D:\roadrunner\temp-biomodels\final\BIOMD0000000021/BIOMD0000000021_url.xml,0.01595274,0.0031543992792604646,0.015295419999999638,0.003251839768807974,0.017616299999974848,0.003537792727804843,0.017159320000000023,0.0031446451861854518,0.016435499999999693,0.0032816280403179417,0.018788919999987906,0.0035511332538780134
D:\roadrunner\temp-biomodels\final\BIOMD0000000022/BIOMD0000000022_url.xml,0.019647559999999942,0.0033101636361365064,0.018357539999999874,0.003505663431221699,0.025880260000006226,0.01553969465507108,0.020738499999999948,0.003263477380800992,0.019367359999999677,0.0035138107708015645,0.027196279999987548,0.01619899357046823
D:\roadrunner\temp-biomodels\final\BIOMD0000000023/BIOMD0000000023_url.xml,0.015500620000000164,0.003555577394319972,0.015364639999999596,0.003234146388616188,0.021398079999999188,0.011567101679198747,0.016037320000000042,0.0035712604472370032,0.015887500000000186,0.00324031594215769,0.022185219999983553,0.012070392388267735
D:\roadrunner\temp-biomodels\final\BIOMD0000000026/BIOMD0000000026_url.xml,0.01218003999999997,0.0028351825431530975,0.012255199999999532,0.0032554267085894463,0.01842701999999159,0.011608023219843049,0.012848460000000016,0.002833000595305343,0.01292358,0.003268800431656197,0.019336899999978473,0.012105782259938887
D:\roadrunner\temp-biomodels\final\BIOMD0000000027/BIOMD0000000027_url.xml,0.009133060000000092,0.0021871937289595416,0.008631719999999631,0.0025919081536583156,0.013996459999990662,0.009824308051113914,0.00960478000000009,0.0022062867837161124,0.009155159999999895,0.0025677493935347966,0.014530919999983816,0.00992081718997376
