File, LLJit load, err LLJit load, MCJit load, err MCJit load, MC/LL load, LLJit sim, err LLJit sim, MCJit sim, err MCJit sim, MC/LL sim
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000001/BIOMD0000000001_url.xml, 0.039673420000006364, 0.008707344303378441, 0.15610806000003094, 0.01636025980904141, 3.934827398293515, 0.001717619999993869, 0.000427085061307307, 0.0015105599999969855, 0.00032094242224427227, 0.8794494707807182
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000002/BIOMD0000000002_url.xml, 0.04063054000000036, 0.009873688889284417, 0.13246887999994214, 0.012046618967502334, 3.2603278223705856, 0.0012023999999922763, 0.0003197600787956759, 0.0010484200000632881, 9.653868446144945e-05, 0.8719394544827201
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000003/BIOMD0000000003_url.xml, 0.018510999999998147, 0.004445319329363104, 0.06724562000002834, 0.004600011187931352, 3.632738371780837, 0.003351600000004451, 0.00023353660098659847, 0.0036947399999462506, 0.0007475380327601155, 1.1023809523634516
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000004/BIOMD0000000004_url.xml, 0.01901295999999737, 0.0044451759540480975, 0.07273790000003828, 0.0037089971566076517, 3.825700995534012, 0.005143960000000103, 0.0015583153090625399, 0.0034698399999797402, 0.00032882373151806444, 0.6745464583666418
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000005/BIOMD0000000005_url.xml, 0.02223113999999744, 0.005701382671093406, 0.07832174000002397, 0.006674411379491455, 3.523064494219954, 0.0020143599999981054, 2.2459617099789132e-05, 0.0022718400000144357, 0.00024107203570587172, 1.127822236351284
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000006/BIOMD0000000006_url.xml, 0.01376282000001543, 0.0037754702834912218, 0.055729219999989255, 0.00541107496798078, 4.049258800153368, 0.0012956199999846873, 9.336861142421373e-05, 0.0014424999999960164, 0.00022605407309260738, 1.113366573542447
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000007/BIOMD0000000007_url.xml, 0.043103699999999835, 0.0072407288448081055, 0.18534424000004038, 0.031216582463133316, 4.299961256227217, 0.0026819200000014476, 0.00012301267251192035, 0.0028250599999637416, 0.00019243642692309427, 1.0533722109392587
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000008/BIOMD0000000008_url.xml, 0.021928940000009, 0.003991574984689154, 0.0780148199999644, 0.005124195203286677, 3.5576192921286838, 0.002295599999993536, 0.0004450111773885797, 0.0018365800000083254, 0.00014034224444948448, 0.8000435616019763
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000009/BIOMD0000000009_url.xml, 0.0480354999999925, 0.012762376585105902, 0.1567621000000372, 0.012960491902119266, 3.263463480135768, 0.0014828400000008956, 0.000149177432601151, 0.001644639999994979, 0.00033021893098674995, 1.1091149415944983
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000010/BIOMD0000000010_url.xml, 0.021784740000011626, 0.004192000475473317, 0.08440154000006714, 0.007634165927392172, 3.8743423148507667, 0.0009580199999975614, 3.4207566426489107e-05, 0.0010749400000122477, 0.00014789495732095935, 1.122043381155909
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000011/BIOMD0000000011_url.xml, 0.039710599999999596, 0.00736914620318375, 0.12315275999999357, 0.00877262984645394, 3.1012565914389314, 0.003052879999992331, 0.0012179471029593462, 0.001831019999997352, 0.00014724800032334936, 0.5997680878390084
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000012/BIOMD0000000012_url.xml, 0.029198879999993023, 0.005153228561348877, 0.09281925999995337, 0.010830826369525755, 3.1788637098400883, 0.0020077600000038666, 0.0008401300532777051, 0.002118440000060673, 0.0008626175875602792, 1.055126110718708
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000013/BIOMD0000000013_url.xml, 0.05840510000000647, 0.007561252121711702, 0.19839350000006561, 0.023810656488459522, 3.3968523296774364, 0.0029239000000059077, 0.000671342985365182, 0.003277959999979885, 0.000839004311308101, 1.1210916925932015
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000014/BIOMD0000000014_url.xml, 0.24429763999999393, 0.04948219885621978, 0.865331179999987, 0.06778233669254684, 3.5421184584509637, 0.010700880000001911, 0.0004142600989710919, 0.012980679999998301, 0.0038706911183597893, 1.213047898864017
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000015/BIOMD0000000015_url.xml, 0.04941216000000881, 0.00876052643386219, 0.14974723999994238, 0.014059107761879745, 3.0305746601629173, 0.001248360000003812, 7.448655180684538e-05, 0.0013838800000144148, 0.00023205346278842796, 1.1085584286665617
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000016/BIOMD0000000016_url.xml, 0.020792719999986886, 0.004691089204615881, 0.07997679999997445, 0.0073067175612525105, 3.8463846961833226, 0.0008761000000095276, 5.986010357384712e-05, 0.0008494799999880342, 9.39594253059292e-05, 0.9696153406903276
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000017/BIOMD0000000017_url.xml, 0.03751479999999661, 0.005960161685057936, 0.1415835600000605, 0.023105001628736615, 3.7740720995466672, 0.0016266000000001667, 0.00011917986406662884, 0.001740359999962493, 0.000283186261003025, 1.06993729248882
