File, LLJit load, err LLJit load, MCJit load, err MCJit load, MC/LL load, LLJit sim, err LLJit sim, MCJit sim, err MCJit sim, MC/LL sim
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000001/BIOMD0000000001_url.xml, 0.02888595999993413, 0.0017950855241120722, 0.012706640000033076, 0.0004992012484569562, 0.43988982883248645, 0.001210960000025807, 8.15911172726297e-05, 0.0013211399997089756, 0.0001809444843983354, 1.0909856640027917
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000002/BIOMD0000000002_url.xml, 0.030444580000039422, 0.002436075283354371, 0.01279344000013225, 0.0011373417792420275, 0.4202206107003507, 0.0011176600000908365, 0.00020314682942837456, 0.000975319999633939, 6.797786116298932e-05, 0.8726446321373861
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000003/BIOMD0000000003_url.xml, 0.016954160000022967, 0.0026777337473033722, 0.005979639999713982, 0.0008297042908702681, 0.3526945599018696, 0.0031149799999184323, 0.0002228453491586456, 0.0029902000000220142, 0.00021263985518438032, 0.9599419579259946
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000004/BIOMD0000000004_url.xml, 0.016568840000218188, 0.003950611776443014, 0.005700160000196774, 0.0009165082838525582, 0.3440289121098225, 0.0036123599998973076, 0.0004687922467601895, 0.003630739999971411, 0.0007168967698742997, 1.0050880864793723
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000005/BIOMD0000000005_url.xml, 0.018009519999941402, 0.0014837739458293416, 0.0068519800001013206, 0.0005011445753152573, 0.38046433220450154, 0.002140080000026501, 0.0002588486151332052, 0.0022388800000044283, 0.0006077990506245134, 1.0461664984377705
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000006/BIOMD0000000006_url.xml, 0.012674300000071526, 0.0014469851359948571, 0.004358979999960866, 0.0004418856747183406, 0.34392274129034867, 0.0013048800001342897, 9.703542455914715e-05, 0.0014940600000045378, 0.00026204200916553485, 1.1449788485154029
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000007/BIOMD0000000007_url.xml, 0.04130809999987832, 0.007540408313819556, 0.01914507999972557, 0.0008600590707515482, 0.4634703605293384, 0.0034125600001061684, 0.001003235239760216, 0.002604000000428641, 6.762671056119576e-05, 0.7630635066775757
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000008/BIOMD0000000008_url.xml, 0.019539620000068682, 0.0018693185155364844, 0.008983599999919534, 0.002313531472843502, 0.4597632911944018, 0.0020354400001451724, 0.0004996519733813304, 0.0017095599998356193, 0.00013275906906097063, 0.8398970245812647
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000009/BIOMD0000000009_url.xml, 0.03868168000008154, 0.0019162556888835571, 0.014987660000042525, 0.0007259916185587392, 0.38746145462169507, 0.0019044200000280398, 0.0003436413213545156, 0.0013449200001559801, 5.5327873599715714e-05, 0.7062097647242616
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000010/BIOMD0000000010_url.xml, 0.009078279999994266, 0.0005211899248256625, 0.008867579999969167, 0.0010023089552345726, 0.9767907577178461, 0.0010745800000222516, 0.00022558729925275018, 0.0009572999997544684, 0.00010724163360408895, 0.8908596844670899
