File, LLJit load, err LLJit load, MCJit load, err MCJit load, MC/LL load, LLJit sim, err LLJit sim, MCJit sim, err MCJit sim, MC/LL sim
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000001/BIOMD0000000001_url.xml, 0.03784582000000516, 0.007966313546024936, 0.01462334000001112, 0.0019276800840360565, 0.3863924734623038, 0.0015857599999973715, 0.00039442471323232047, 0.0015262200000009552, 0.0004403543046198938, 0.9624533346808376
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000002/BIOMD0000000002_url.xml, 0.03590837999998801, 0.007885547126328185, 0.01397816000000296, 0.0018679807521700892, 0.38927292180843653, 0.0012949800000016775, 0.0005092583760628119, 0.00097175999997412, 2.1645101072247455e-05, 0.7504054116456325
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000003/BIOMD0000000003_url.xml, 0.017617439999995387, 0.0043225785312012216, 0.00579939999997896, 0.00016853634621246907, 0.32918517105666195, 0.004063480000015107, 0.0019027067723638117, 0.0029638600000164274, 5.1111939910551495e-05, 0.7293895872516681
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000004/BIOMD0000000004_url.xml, 0.017559679999977984, 0.004658138537844481, 0.006347899999991103, 0.0014955230068380869, 0.361504309873475, 0.0038974200000076787, 0.0008087802480126648, 0.003624620000013712, 0.0008055815226195753, 0.9300049776535685
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000005/BIOMD0000000005_url.xml, 0.020876440000020313, 0.00504874839800442, 0.007587740000013499, 0.0011094704296861872, 0.36345947872367684, 0.0024130599999981905, 0.0005763585849112883, 0.002380199999981114, 0.0005879840167978043, 0.9863824355726334
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000006/BIOMD0000000006_url.xml, 0.01413060000000157, 0.003623080795677683, 0.004758500000009746, 0.0011438407109509098, 0.3367514472145003, 0.001472680000002624, 0.0003856989727858059, 0.0014772999999878244, 0.0003784268013757815, 1.0031371377252303
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000007/BIOMD0000000007_url.xml, 0.04716082000001391, 0.010494963495396257, 0.02186419999998652, 0.0045616703616075316, 0.4636094113711354, 0.0038109000000021488, 0.001272557937394381, 0.003480160000008081, 0.0011017668421261229, 0.9132121021297118
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000008/BIOMD0000000008_url.xml, 0.020365239999981345, 0.005222981802998151, 0.008055819999987413, 0.0011332239415126428, 0.39556715265790104, 0.0017715400000057446, 8.23671439358716e-05, 0.0020129999999974222, 0.0005548658360355553, 1.1362994908333397
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000009/BIOMD0000000009_url.xml, 0.041418019999992686, 0.009913748492962246, 0.015031120000020515, 0.0005063812136859415, 0.36291256800839755, 0.0015932599999911369, 9.22520156805875e-05, 0.001449759999976452, 0.00011579294624022529, 0.9099330931451972
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000010/BIOMD0000000010_url.xml, 0.02143875999999212, 0.004264185573170661, 0.009703559999999589, 0.0020635419904549293, 0.4526175954207779, 0.001379880000002065, 0.0006109740498666994, 0.0009434600000098215, 2.5700786012151522e-05, 0.6837261211180752
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000011/BIOMD0000000011_url.xml, 0.04042150000000244, 0.012337675842231144, 0.018168459999997257, 0.00034352884944791273, 0.44947515554831363, 0.0020551799999873888, 0.0005183369537006583, 0.0016958200000109168, 6.387219738150649e-05, 0.8251442696120646
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000012/BIOMD0000000012_url.xml, 0.022702779999997435, 0.005471542634908732, 0.010026579999990525, 0.0001892526713308022, 0.4416454724924286, 0.0014206999999958557, 4.011707867263442e-05, 0.00155702000000999, 0.0003771488586841218, 1.095952699383777
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000013/BIOMD0000000013_url.xml, 0.051934680000014534, 0.008820947887015313, 0.02574616000001102, 0.0023266730364154787, 0.4957411887394669, 0.0032331399999888434, 0.0008300951092561646, 0.0026084399999878106, 0.0001349144410350594, 0.806782261206385
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000014/BIOMD0000000014_url.xml, 0.22849403999999884, 0.0463296667627384, 0.13754285999999202, 0.015900789840096095, 0.6019538190142409, 0.013034859999999381, 0.0030664346916996544, 0.01476137999999425, 0.003848138326728951, 1.1324540501390081
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000015/BIOMD0000000015_url.xml, 0.05353171999999411, 0.013499897588860015, 0.026326659999984337, 0.0032804482697545313, 0.49179551861937626, 0.0013182199999904665, 7.967781121926342e-05, 0.0012311600000140198, 4.830555246057638e-05, 0.9339563957631682
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000016/BIOMD0000000016_url.xml, 0.02096570000000688, 0.0044821603813305355, 0.00839215999999272, 0.0021813570974057507, 0.4002804580810546, 0.0010637599999987924, 0.000312394651697603, 0.0009037000000116536, 0.00023108539545287993, 0.849533729424569
C:/Users/Lucian/Desktop/temp-biomodels/final\BIOMD0000000017/BIOMD0000000017_url.xml, 0.0357051400000072, 0.006194321675065839, 0.018083580000028743, 0.0037781234450019597, 0.5064699368221242, 0.0016658600000011958, 0.0001955166243296229, 0.001512539999987217, 8.2189137962426e-05, 0.9079634543035616
